size  time
6.2726 47.9736
1.4762 11.4748
3.4589 23.5487
2.7885 12.4034
1.2233 7.0392
0.1410 0.8270
4.5078 33.9382
1.1419 7.7632
0.8415 5.2939
0.6799 3.7123
1.3273 8.1824
3.7004 23.1475
1.4544 8.5632
1.2650 6.6768
1.0408 7.1817
4.9690 112.0454
5.8562 49.5210
0.0084 0.0290
1.0033 5.9986
3.5737 22.9925
4.2608 29.8730
0.1688 1.1987
4.4139 27.9250
0.0174 0.0777
1.9699 6.0274
0.9890 6.5074
6.9077 44.7310
2.2187 14.9902
2.0912 8.6569
2.1602 8.6120
2.7625 17.5620
4.5149 25.3462
0.6656 2.6589
0.8562 4.7976
1.7411 5.9295
2.5458 17.1976
1.9795 6.1663
1.1811 7.2509
2.1597 8.7222
1.7513 3.8209
0.5118 1.8696
0.0094 0.0305
2.8550 15.7935
4.3417 32.8648
0.2769 1.1754
1.3333 7.4756
1.9962 9.8232
1.8027 11.1917
0.5745 2.6619
5.0880 42.1992
1.4237 7.4677
2.1917 15.4218
0.7258 4.4317
2.3643 11.5998
5.6431 32.4940
0.3770 1.2987
0.7801 3.1179
0.0390 0.1728
3.4287 18.9912
2.1407 10.5188
0.7740 4.3572
1.3013 3.8012
0.9525 2.5332
1.4345 8.0167
2.4692 14.1075
0.5544 10.6858
0.0847 0.4235
0.1424 0.6336
9.5315 73.5269
2.5870 18.5464
1.7239 7.4158
2.8019 11.4865
0.0146 0.0471
2.8161 16.7357
2.0405 6.2125
1.5452 7.5700
2.4497 13.2650
0.5174 3.4165
0.0415 0.1857
0.1893 1.0104
0.3763 1.4414
0.6822 2.9173
4.7904 29.9698
0.4258 1.5499
0.5852 3.3226
3.3213 19.3932
4.5880 34.0300
1.1815 7.8590
3.0900 17.4149
2.5069 7.1212
4.1916 24.0130
0.9068 6.1943
4.2738 24.3528
2.4472 9.0650
0.7562 3.4578
0.6462 2.3245
3.9734 22.2181
0.2956 2.3587
3.6348 14.5415
2.1029 12.1485
1.3247 6.5937
0.0138 0.0392
2.1804 8.3070
4.8542 19.2575
1.5770 8.5953
1.5267 5.3349
5.2898 24.0268
0.3802 1.3165
1.8211 6.0440
0.0175 0.0961
0.4560 2.0305
2.6670 9.0598
2.1718 8.7970
6.2455 42.2215
0.1704 0.7878
0.1723 1.1118
1.1926 6.4020
0.7772 2.8748
0.6676 3.9177
0.9780 3.0121
1.5802 5.9484
0.9813 5.2554
1.0200 2.2021
5.0863 29.0630
0.2196 0.9747
2.4307 8.6318
0.2703 1.8698
4.8398 39.8352
1.4682 4.3639
1.2003 5.1620
5.6652 41.1217
2.1820 13.7737
1.8509 9.0167
1.4967 8.5457
0.1784 0.6940
1.7205 9.4703
1.6678 8.8197
1.9634 10.3800
0.0726 0.3840
0.6986 3.4727
5.6652 41.7032
1.8731 11.5980
0.1602 1.0393
0.9013 4.0744
3.0918 15.4397
1.9146 10.5469
1.4489 4.3958
4.0634 22.6273
0.0697 2.6181
0.7358 3.6944
2.7626 16.3795
0.5945 3.7058
2.2440 12.2956
0.2852 2.1289
2.3632 11.3531
1.5544 7.9744
3.2833 20.9812
0.4618 3.8701
1.6462 8.6421
2.2734 11.6812
3.5941 22.4151
1.2584 7.2844
0.3208 1.4805
0.4929 2.4678
1.9193 9.5241
2.2932 13.2531
0.5758 3.7271
2.3585 14.3253
5.0494 27.9492
0.6771 4.2269
2.0091 13.0431
5.1572 29.0137
0.2965 5.5674
5.1930 31.2724
0.7280 3.6131
0.1947 3.3403
0.6008 4.7689
1.8657 5.3496
1.3661 7.2533
2.2840 10.3875
1.0972 3.8007
2.9076 11.0555
2.1309 13.2675
4.9543 26.2678
3.2780 14.3192
3.0270 16.4749
2.9413 16.3430
1.7713 9.9162
1.4289 10.0309
1.8330 10.3764
0.5408 3.2506
1.2206 6.0779
4.4798 25.6697
1.5755 8.9392
1.5355 7.0738
1.6917 6.0731
1.1722 6.3168
1.2883 6.6321
4.8501 23.6896
0.4036 2.8979
0.5593 2.2627
0.4490 2.4731
0.7594 2.3214
1.1404 5.9376
0.6846 4.0712
0.7052 3.0714
1.6350 9.3467
2.9756 11.4125
0.1554 1.0901
0.7923 4.1211
2.9087 15.6879
0.7358 4.7691
0.8973 5.0814
0.6247 1.7279
